v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    61.400000                       0.162190          0.000042
    61.500000                       0.168768          0.000044
    61.600000                       0.175797          0.000046
    61.700000                       0.183321          0.000048
    61.800000                       0.191387          0.000050
    61.900000                       0.200048          0.000052
    62.000000                       0.209367          0.000055
    62.100000                       0.219411          0.000057
    62.200000                       0.230257          0.000060
    62.300000                       0.241996          0.000063
    62.400000                       0.254726          0.000067
    62.500000                       0.268565          0.000070
    62.600000                       0.283645          0.000074
    62.700000                       0.300120          0.000078
    62.800000                       0.318168          0.000083
    62.900000                       0.337996          0.000088
    63.000000                       0.359847          0.000094
    63.100000                       0.384006          0.000100
    63.200000                       0.410810          0.000107
    63.300000                       0.440662          0.000115
    63.400000                       0.474040          0.000124
    63.500000                       0.511522          0.000134
    63.600000                       0.553811          0.000145
    63.700000                       0.601761          0.000157
    63.800000                       0.656429          0.000172
    63.900000                       0.719126          0.000188
    64.000000                       0.791499          0.000207
    64.100000                       0.875636          0.000229
    64.200000                       0.974216          0.000255
    64.300000                       1.090723          0.000285
    64.400000                       1.229741          0.000322
    64.500000                       1.397407          0.000365
    64.600000                       1.602072          0.000419
    64.700000                       1.855318          0.000485
    64.800000                       2.173549          0.000568
    64.900000                       2.580565          0.000675
    65.000000                       3.111819          0.000814
    65.100000                       3.821722          0.001000
    65.200000                       4.796561          0.001255
    65.300000                       6.178068          0.001616
    65.400000                       8.207231          0.002147
    65.500000                      11.304374          0.002957
    65.600000                      16.195262          0.004236
    65.700000                      23.966594          0.006268
    65.800000                      35.192160          0.009204
    65.900000                      45.814973          0.011983
    66.000000                      45.547421          0.011913
    66.100000                      34.721977          0.009081
    66.200000                      23.604137          0.006174
    66.300000                      15.964045          0.004175
    66.400000                      11.160147          0.002919
    66.500000                       8.115066          0.002122
    66.600000                       6.117194          0.001600
    66.700000                       4.755127          0.001244
    66.800000                       3.792854          0.000992
    66.900000                       3.091397          0.000809
    67.000000                       2.566031          0.000671
    67.100000                       2.163258          0.000566
    67.200000                       1.848182          0.000483
    67.300000                       1.597349          0.000418
    67.400000                       1.394578          0.000365
    67.500000                       1.228436          0.000321
    67.600000                       1.090672          0.000285
    67.700000                       0.975221          0.000255
    67.800000                       0.877545          0.000230
    67.900000                       0.794198          0.000208
    68.000000                       0.722527          0.000189
    68.100000                       0.660462          0.000173
    68.200000                       0.606371          0.000159
    68.300000                       0.558955          0.000146
    68.400000                       0.517165          0.000135
    68.500000                       0.480153          0.000126
    68.600000                       0.447222          0.000117
    68.700000                       0.417799          0.000109
    68.800000                       0.391407          0.000102
    68.900000                       0.367648          0.000096
    69.000000                       0.346187          0.000091
    69.100000                       0.326740          0.000085
    69.200000                       0.309067          0.000081
    69.300000                       0.292960          0.000077
    69.400000                       0.278244          0.000073
    69.500000                       0.264764          0.000069
    69.600000                       0.252390          0.000066
    69.700000                       0.241006          0.000063
    69.800000                       0.230512          0.000060
    69.900000                       0.220819          0.000058
    70.000000                       0.211851          0.000055
    70.100000                       0.203539          0.000053
    70.200000                       0.195822          0.000051
    70.300000                       0.188648          0.000049
    70.400000                       0.181969          0.000048
    70.500000                       0.175741          0.000046
    70.600000                       0.169928          0.000044
    70.700000                       0.164496          0.000043
    70.800000                       0.159413          0.000042
    70.900000                       0.154652          0.000040
    71.000000                       0.150188          0.000039
    71.100000                       0.145999          0.000038
    71.200000                       0.142065          0.000037
    71.300000                       0.138367          0.000036
    71.400000                       0.134888          0.000035
    71.500000                       0.131613          0.000034
    71.600000                       0.128528          0.000034
    71.700000                       0.125620          0.000033
    71.800000                       0.122878          0.000032
    71.900000                       0.120291          0.000031
    72.000000                       0.117849          0.000031
    72.100000                       0.115544          0.000030
    72.200000                       0.113366          0.000030
    72.300000                       0.111308          0.000029
