Angle,PSD
29.1788,50
29.1941,45
29.2095,31
29.2248,37
29.2401,30
29.2554,21
29.2708,28
29.2861,22
29.3014,37
29.3168,34
29.3321,30
29.3474,28
29.3628,34
29.3781,30
29.3934,32
29.4088,29
29.4241,35
29.4394,28
29.4548,23
29.4701,34
29.4854,25
29.5008,33
29.5161,30
29.5314,31
29.5468,35
29.5621,25
29.5774,28
29.5928,41
29.6081,26
29.6234,40
29.6388,24
29.6541,21
29.6694,37
29.6847,29
29.7001,32
29.7154,34
29.7307,27
29.7461,32
29.7614,34
29.7767,33
29.7921,28
29.8074,28
29.8227,26
29.8381,27
29.8534,30
29.8687,35
29.8841,52
29.8994,36
29.9147,31
29.9301,36
29.9454,41
29.9607,28
29.9761,32
29.9914,28
30.0067,23
30.0221,27
30.0374,31
30.0527,36
30.068,33
30.0834,48
30.0987,38
30.114,43
30.1294,33
30.1447,34
30.16,23
30.1754,38
30.1907,25
30.206,45
30.2214,42
30.2367,30
30.252,32
30.2674,39
30.2827,36
30.298,46
30.3134,30
30.3287,39
30.344,42
30.3594,41
30.3747,50
30.39,41
30.4054,32
30.4207,41
30.436,25
30.4514,35
30.4667,44
30.482,33
30.4973,41
30.5127,39
30.528,36
30.5433,24
30.5587,22
30.574,36
30.5893,29
30.6047,33
30.62,39
30.6353,37
30.6507,30
30.666,30
30.6813,43
30.6967,40
30.712,34
30.7273,34
30.7427,25
30.758,37
30.7733,25
30.7887,28
30.804,36
30.8193,32
30.8347,28
30.85,30
30.8653,31
30.8806,29
30.896,29
30.9113,22
30.9266,40
30.942,31
30.9573,26
30.9726,36
30.988,25
31.0033,33
31.0186,18
31.034,31
31.0493,31
31.0646,32
31.08,34
31.0953,33
31.1106,31
31.126,31
31.1413,45
31.1566,33
31.172,25
31.1873,36
31.2026,40
31.218,28
31.2333,32
31.2486,41
31.264,41
31.2793,34
31.2946,35
31.3099,34
31.3253,31
31.3406,34
31.3559,36
31.3713,25
31.3866,34
31.4019,39
31.4173,29
31.4326,28
31.4479,26
31.4633,35
31.4786,28
31.4939,26
31.5093,41
31.5246,44
31.5399,38
31.5553,37
31.5706,34
31.5859,34
31.6013,38
31.6166,27
31.6319,33
31.6473,38
31.6626,30
31.6779,33
31.6932,37
31.7086,35
31.7239,38
31.7392,41
31.7546,28
31.7699,39
31.7852,33
31.8006,34
31.8159,36
31.8312,35
31.8466,36
31.8619,45
31.8772,29
31.8926,35
31.9079,36
31.9232,32
31.9386,36
31.9539,35
31.9692,39
31.9846,37
31.9999,36
32.0152,29
32.0306,36
32.0459,45
32.0612,43
32.0766,38
32.0919,41
32.1072,33
32.1225,29
32.1379,39
32.1532,34
32.1685,45
32.1839,28
32.1992,41
32.2145,38
32.2299,49
32.2452,31
32.2605,46
32.2759,34
