,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4,z_Ba_layer5,z_S_layer5,z_diff_layer5
56,56,282.1256281407035,1.2429544947083349,0.8575321750000067,0.3854223197083282,5.9754137526388895,5.931019493333333,0.04439425930555618,10.954879514583332,10.950210865416668,0.004668649166664096,15.96812601173611,15.968235002222222,-0.00010899048611179296,20.946544654027775,20.988815592569445,-0.04227093854166952,25.678485046127776,26.06120739986111,-0.3827223537333353
57,57,287.14572864321605,1.2453001407500015,0.8613244684027799,0.38397567234722163,5.978445846388889,5.9351077257638885,0.043338120625000975,10.958340582152777,10.954843702291665,0.0034968798611121343,15.971952496597222,15.972875320069445,-0.0009228234722229445,20.94882296527778,20.99335055027778,-0.044527584999997316,25.680393382374998,26.06407354076389,-0.38368015838889136
58,58,292.1658291457286,1.2442817201916685,0.8586667218055569,0.3856149983861116,5.976168893680556,5.932992613333334,0.04317628034722176,10.956812636805557,10.952105562847223,0.004707073958334362,15.965513238055557,15.969402583541669,-0.0038893454861117505,20.944742610486113,20.990597526319448,-0.045854915833334786,25.678952029602776,26.06324765305556,-0.38429562345278256
59,59,297.1859296482412,1.246314243733335,0.8582927846527837,0.3880214590805513,5.975711010833333,5.932243006527778,0.043468004305554864,10.956125755347223,10.949997848611112,0.006127906736111299,15.962543406458334,15.967976828333333,-0.005433421874998956,20.94135379548611,20.990145847569444,-0.04879205208333559,25.674734966613887,26.06257329416667,-0.3878383275527817
60,60,302.20603015075375,1.2489383518611126,0.8589830709722313,0.3899552808888813,5.976910766111112,5.932923184722223,0.043987581388888586,10.957876597013888,10.952385449444444,0.0054911475694439105,15.966660456597221,15.970899752916665,-0.004239296319443753,20.94515655902778,20.992256452986112,-0.04709989395833247,25.676628510777775,26.064640890347224,-0.38801237956944945
61,61,307.2261306532663,1.244952701722224,0.855935007708342,0.389017694013882,5.9749078825,5.930223958472222,0.04468392402777788,10.956070585555555,10.950236281111112,0.005834304444443106,15.961932929097223,15.967699495624998,-0.0057665665277752964,20.942179472569446,20.987787290625,-0.04560781805555436,25.67385774008333,26.060096849791666,-0.38623910970833464
62,62,312.2462311557789,1.2447735506111124,0.8573725848611162,0.38740096574999616,5.977307896527778,5.9309510789583335,0.04635681756944443,10.95693051826389,10.952349327916668,0.004581190347222375,15.96723097013889,15.971701007222224,-0.004470037083333267,20.946513964999998,20.991330303402776,-0.044816338402778655,25.67675850175278,26.06363482638889,-0.3868763246361091
63,63,317.26633165829145,1.2461241463750017,0.8597805316666745,0.38634361470832723,5.981573903194445,5.933770644791668,0.04780325840277655,10.960949022986112,10.955387008611112,0.005562014375000146,15.971587092222222,15.974685681111112,-0.003098588888889253,20.952875286875,20.995531623194445,-0.0426563363194461,25.682170616541665,26.068052846527777,-0.38588222998611243
64,64,322.286432160804,1.2447341858194458,0.8593819887500072,0.3853521970694387,5.978967972430556,5.929876596250001,0.04909137618055581,10.958139276944443,10.95000062326389,0.008138653680553887,15.964875879305557,15.968646790069446,-0.0037709107638885797,20.945526332430557,20.988966378958335,-0.043440046527777554,25.67845702688889,26.062041717222222,-0.38358469033333265
65,65,327.30653266331655,1.2499898283916677,0.8630388583333428,0.3869509700583249,5.981059237430555,5.931480328541667,0.04957890888888805,10.960725130416668,10.951013951597222,0.00971117881944572,15.965919204375,15.969657161111108,-0.0037379567361082167,20.945443609791667,20.98885088777778,-0.04340727798611255,25.679079978766666,26.0615554275,-0.3824754487333344
66,66,332.3266331658291,1.2531469479722237,0.8644861673611158,0.38866078061110787,5.980636095902778,5.932513379097222,0.048122716805555577,10.958903636319443,10.950268481944445,0.008635154374998066,15.965330351180556,15.968035115625002,-0.002704764444445118,20.940300439583332,20.98543481965278,-0.04513438006944881,25.67423691994722,26.05718007715278,-0.3829431572055597
67,67,337.3467336683417,1.2562342724861126,0.8679335370138949,0.3883007354722178,5.984159618750001,5.935427978472223,0.048731640277777544,10.96093721,10.953286026736112,0.0076511832638885835,15.965484981805556,15.969125992500002,-0.003641010694446223,20.935560323958335,20.984143697083333,-0.048583373124998275,25.671185881752777,26.054126162708332,-0.3829402809555553
68,68,342.36683417085425,1.2521036597055573,0.8642823311111156,0.38782132859444163,5.98234558,5.933539664722222,0.04880591527777778,10.956492067500001,10.951659593541667,0.004832473958334305,15.96488188229167,15.969635078541664,-0.004753196249994929,20.93869925701389,20.98713871513889,-0.04843945812499939,25.67310796973889,26.058993104097222,-0.3858851343583325
69,69,347.3869346733668,1.2500212669277797,0.8623244336111138,0.38769683331666593,5.981853423958333,5.934350677777777,0.047502746180556166,10.95768682798611,10.953929862916667,0.003756965069444007,15.96555081548611,15.971505530555557,-0.005954715069448113,20.941481081666666,20.99177398701389,-0.05029290534722364,25.67456734911389,26.06325137548611,-0.3886840263722213
70,70,352.4070351758794,1.2415211638027797,0.8558944568055588,0.3856267069972209,5.975210741180555,5.927556089791667,0.04765465138888825,10.952523793888888,10.948472225347224,0.004051568541663997,15.958868192222225,15.965803970277781,-0.006935778055556341,20.937820511388892,20.986883948680557,-0.04906343729166451,25.670282523349996,26.059623701458335,-0.3893411781083387
71,71,357.42713567839195,1.2411761604694462,0.8554537445833408,0.38572241588610545,5.9741182042361105,5.925614529166667,0.0485036750694432,10.94933389652778,10.946239187083332,0.003094709444447119,15.96139119048611,15.965389963888889,-0.003998773402779321,20.939075227708333,20.987546650486113,-0.04847142277778005,25.673673101891666,26.05928545527778,-0.3856123533861151
72,72,362.4472361809045,1.2438183218583352,0.8584312775694535,0.3853870442888817,5.9735141516666665,5.9288945674305555,0.04461958423611101,10.951631800277777,10.94840573875,0.003226061527778157,15.96216132611111,15.966543576111112,-0.0043822500000025855,20.93791192986111,20.98954291548611,-0.05163098562499968,25.671243929944442,26.059226509444446,-0.3879825795000045
73,73,367.46733668341705,1.2482631811694458,0.8639818325000088,0.384281348669437,5.9783494756249995,5.9332990202083336,0.04505045541666597,10.95536551923611,10.952263271944444,0.0031022472916664157,15.967189119166667,15.970688039930558,-0.0034989207638904674,20.93901843027778,20.990334135486112,-0.05131570520833151,25.670550190225,26.057373960347224,-0.38682377012222346
74,74,372.4874371859296,1.2488398993555578,0.8640257231250051,0.3848141762305527,5.979272948194445,5.934685165208333,0.044587782986111435,10.956435598194444,10.951250253472223,0.00518534472222143,15.966996510208332,15.969670941805553,-0.0026744315972209165,20.938788864305554,20.988248605972224,-0.04945974166667,25.66921398848889,26.05486728472222,-0.385653296233329
75,75,377.5075376884422,1.2464930510222243,0.8616067646527857,0.38488628636943856,5.975052906458334,5.932764890694445,0.042288015763888964,10.954203370208335,10.948935041944445,0.005268328263889899,15.961882549166667,15.966813951597222,-0.004931402430555565,20.936125503819444,20.985996460625,-0.04987095680555598,25.66762302793333,26.053119514375,-0.38549648644166723
76,76,382.52763819095475,1.2465713413027797,0.8620589620833429,0.3845123792194368,5.977656627777778,5.930335104236111,0.047321523541667077,10.953649901597224,10.94651905173611,0.00713084986111312,15.960445897013889,15.963971344375002,-0.0035254473611132653,20.937468364791666,20.984159716388888,-0.0466913515972216,25.669027888694444,26.052852885555556,-0.3838249968611116
77,77,387.5477386934673,1.247138026019447,0.8615444691666791,0.38559355685276775,5.9743848625,5.9282884394444455,0.0460964230555545,10.94986344777778,10.944798245555555,0.0050652022222248405,15.957331725972223,15.961946856805557,-0.004615130833334646,20.93725963125,20.98419155125,-0.046931919999998684,25.671027341541667,26.053533399305554,-0.38250605776388724
78,78,392.5678391959799,1.2475619917861132,0.8625636032638911,0.384998388522222,5.978385981805555,5.929534941111111,0.04885104069444424,10.949717992222222,10.946877243125,0.002840749097222428,15.959144243680555,15.96628686013889,-0.007142616458335027,20.942328284652778,20.988624932847227,-0.04629664819444912,25.67242853459722,26.05650758638889,-0.38407905179166946
79,79,397.58793969849245,1.2433210788694466,0.8586724049305619,0.3846486739388848,5.980809918819444,5.928680822847222,0.05212909597222204,10.948417018333334,10.946430485625001,0.001986532708333044,15.958462742986107,15.964714286805556,-0.006251543819448813,20.93933759826389,20.986399828263885,-0.04706222999999454,25.669964596541664,26.055423900208332,-0.3854593036666678
80,80,402.608040201005,1.2431150797666695,0.8586683815277826,0.3844466982388869,5.982689190833333,5.930871644583333,0.05181754624999968,10.948705833333333,10.949280314791668,-0.0005744814583348301,15.96059715298611,15.968760510555557,-0.00816335756944575,20.941120055625,20.98886760618056,-0.04774755055555957,25.67583357306944,26.057822090347223,-0.38198851727778305
81,81,407.62814070351754,1.243423060808336,0.8574257941666723,0.3859972666416638,5.983513469583333,5.930807368819445,0.052706100763888486,10.949613237083334,10.949421461597224,0.00019177548611004624,15.96097833034722,15.967941560069441,-0.006963229722220632,20.941737675555558,20.98949915013889,-0.04776147458333213,25.674962807858336,26.058374110625,-0.3834113027666639
82,82,412.6482412060301,1.2419423669305572,0.8579522922222333,0.3839900747083238,5.9802220721527775,5.931171670347222,0.04905040180555531,10.949804134861113,10.948954247708334,0.0008498871527784502,15.957502369930555,15.966474117638889,-0.00897174770833331,20.93973558888889,20.987995343541666,-0.048259754652775655,25.67438024237778,26.05840263541667,-0.3840223930388902
83,83,417.6683417085427,1.2407100358833354,0.8579127670833372,0.3827972687999982,5.975659865833333,5.929854069791667,0.045805796041666014,10.948673385208334,10.947873952847223,0.0007994323611111298,15.957700639444445,15.965919365555557,-0.008218726111111962,20.9396639925,20.988879313125,-0.04921532062499878,25.67783362355833,26.060363816319445,-0.3825301927611129
84,84,422.68844221105525,1.2405438961638908,0.8585586997222278,0.38198519644166307,5.979334507225,5.931169953194445,0.04816455403055553,10.954157963472221,10.950790896388888,0.0033670670833334526,15.962502950277777,15.969344347500002,-0.006841397222224543,20.943734183125002,20.993283092569445,-0.04954890944444301,25.67844711751944,26.062866323333335,-0.3844192058138951
85,85,427.7085427135678,1.237038108805557,0.8548511743750056,0.3821869344305515,5.975892896391667,5.928914810069445,0.04697808632222156,10.950324135486111,10.946140050486113,0.004184084999998561,15.960510931597222,15.965927729305555,-0.005416797708333476,20.937166586458332,20.98907766861111,-0.05191108215277751,25.677977027727778,26.059394067291667,-0.38141703956388895
86,86,432.7286432160804,1.2368101315861122,0.8551645026388965,0.38164562894721565,5.9781304691666675,5.927707047291666,0.05042342187500104,10.952040820833334,10.947895980902778,0.004144839930555477,15.965193151527778,15.967663641944446,-0.0024704904166679142,20.938531814375,20.989771955277778,-0.0512401409027774,25.67904926091944,26.059685047708335,-0.3806357867888934
87,87,437.74874371859295,1.2339495241472243,0.8510086395138975,0.38294088463332676,5.974367779794444,5.9262928384027775,0.04807494139166657,10.949750759791668,10.946744927777779,0.0030058320138888206,15.963774684791666,15.966694226180557,-0.002919541388891389,20.940874411872226,20.98874350701389,-0.04786909514166382,25.678127400294443,26.057279554305556,-0.3791521540111127
88,88,442.7688442211055,1.239289782063891,0.855206430138896,0.3840833519249951,5.975740289169445,5.928199738402778,0.047540550766666634,10.947814036944445,10.947729052847222,8.49840972225735e-05,15.961325239791668,15.967164915416667,-0.00583967562499943,20.939262888333335,20.98785310451389,-0.04859021618055337,25.67694067223889,26.05532832291667,-0.37838765067778013
89,89,447.78894472361804,1.237055455261113,0.8529276402083396,0.3841278150527735,5.973665611808333,5.924455932986111,0.04920967882222271,10.948345447916667,10.948025085208334,0.00032036270833302183,15.957341979305555,15.96592155986111,-0.008579580555554855,20.935290061666663,20.98551110881944,-0.0502210471527782,25.675324375919445,26.053733895625,-0.37840951970555636
90,90,452.8090452261306,1.2389145656083353,0.8564877540277841,0.38242681158055125,5.97669932035,5.928007567708333,0.04869175264166703,10.950799890138889,10.952067107847222,-0.0012672177083334901,15.961161092291668,15.970252797500002,-0.009091705208334133,20.937966450138887,20.987143975625003,-0.049177525486115314,25.67622363779722,26.053087277430556,-0.3768636396333349
