,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3
72,72,362.4472361809045,1.2579706204687502,0.8668261389062777,0.3911444815624725,5.9170212636762685,5.869507996015626,0.047513267660642455,10.773774899214356,10.823797242382813,-0.05002234316845744,15.433016343750001,15.823052887382815,-0.3900365436328137
73,73,367.46733668341705,1.2576350625,0.8664535224219013,0.3911815400780986,5.9185372375795895,5.867948110390626,0.0505891271889638,10.77099911980176,10.821688648554687,-0.05068952875292787,15.429385989882814,15.821288439687502,-0.3919024498046877
74,74,372.4874371859296,1.2579277716406252,0.866718801093778,0.3912089705468472,5.917712243595215,5.868001134179687,0.04971110941552759,10.770462933709474,10.820803821171875,-0.05034088746240073,15.428204976953126,15.819714609296875,-0.3915096323437499
75,75,377.5075376884422,1.2549894072656251,0.8645759763281528,0.3904134309374724,5.9145890433225095,5.866297268437501,0.048291774885008465,10.76787882359302,10.819028841835939,-0.05115001824291987,15.426519211210937,15.818372016054688,-0.39185280484375085
76,76,382.52763819095475,1.2578750803515626,0.8692326944531521,0.3886423858984105,5.918786130394286,5.8702593558203136,0.04852677457397281,10.767920092343019,10.822195889101565,-0.05427579675854588,15.42992669601636,15.821503915195315,-0.3915772191789557
77,77,387.5477386934673,1.255730720546875,0.8690766820312774,0.38665403851559765,5.917491243364502,5.869183215742188,0.04830802762231379,10.768338749918215,10.819699354335938,-0.05136060441772372,15.430983828515627,15.818381686250001,-0.3873978577343742
78,78,392.5678391959799,1.25492911234375,0.8676942943750275,0.3872348179687225,5.915563768677002,5.8660553417578125,0.04950842691918922,10.763789281404787,10.815622734218751,-0.05183345281396434,15.428377231563232,15.815497813085939,-0.3871205815227068
79,79,397.58793969849245,1.255605200859375,0.8698044339844009,0.3858007668749741,5.914678762738037,5.8670028949218755,0.047675867816161066,10.764280344299072,10.81561627714844,-0.05133593284936744,15.427387977070314,15.813064612265627,-0.38567663519531337
80,80,402.608040201005,1.2535918354296876,0.8685749467187762,0.38501688871091133,5.9117920489467775,5.865120347851562,0.04667170109521557,10.763709819571778,10.814125859453124,-0.050416039881346464,15.427532477851564,15.811190366054689,-0.38365788820312474
81,81,407.62814070351754,1.254890358828125,0.8706690600781505,0.38422129874997457,5.915050211989991,5.867942352851563,0.04710785913842752,10.76625452543335,10.816946263007814,-0.05069173757446421,15.42874619078125,15.814428373789063,-0.38568218300781254
82,82,412.6482412060301,1.2545357066015628,0.8700197594140893,0.3845159471874735,5.913408160933107,5.866591067226563,0.04681709370654463,10.768768946995849,10.817051781875001,-0.04828283487915286,15.428332317734377,15.813457413554687,-0.3851250958203103
83,83,417.6683417085427,1.2539902650781252,0.869990229492213,0.3840000355859121,5.9165678049572765,5.868126402109375,0.048441402847901216,10.770766932387208,10.819774668164063,-0.04900773577685591,15.431227758437501,15.816802989257813,-0.38557523082031153
84,84,422.68844221105525,1.2511871753515624,0.8662045423828375,0.3849826329687249,5.912169249957277,5.863563534101563,0.048605715855713605,10.768282636603027,10.815659623750001,-0.047376987146973804,15.42819267109375,15.813004492656251,-0.3848118215625007
85,85,427.7085427135678,1.2505282368750001,0.866282174375028,0.3842460624999722,5.911386449491456,5.864411930078125,0.04697451941333064,10.768070601955323,10.816279223789063,-0.04820862183374075,15.431670958671877,15.813585171757815,-0.3819142130859383
86,86,432.7286432160804,1.2511147870703128,0.867382770859402,0.3837320162109108,5.9150252853530265,5.866919615273439,0.04810567007958788,10.768733569220215,10.818583078125002,-0.04984950890478679,15.432666228789063,15.815087704570313,-0.38242147578124985
87,87,437.74874371859295,1.2524299053906252,0.8692843798047161,0.3831455255859091,5.914488918239259,5.866014846054688,0.04847407218457089,10.769462440120117,10.81840787730469,-0.04894543718457278,15.435677748125002,15.816082208203126,-0.38040446007812356
88,88,442.7688442211055,1.2539821402741698,0.871741270234403,0.3822408700397668,5.916423473080812,5.8670182135937505,0.049405259487061315,10.770838651956787,10.819460672226564,-0.04862202026977691,15.438135298125001,15.817490555546875,-0.37935525742187437
89,89,447.78894472361804,1.25381074390625,0.8713688887109652,0.38244185519528484,5.9144383841355,5.865992376953125,0.048446007182374906,10.769804973520753,10.816861961328126,-0.04705698780737322,15.435252640898439,15.815767632929688,-0.38051499203124983
