,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4
41,41,206.82412060301505,1.254259667579377,0.864647831736128,0.3896118358432489,5.980077412777778,5.935925850694445,0.04415156208333304,10.958095334791668,10.954707068819443,0.0033882659722248576,15.926143118611114,15.973422496458333,-0.047279377847219806,20.650711764039695,21.044734103055557,-0.39402233901586214
42,42,211.84422110552762,1.250317112301599,0.8590996837500178,0.39121742855158126,5.975585399930555,5.930421498402778,0.045163901527777384,10.954316547916667,10.949963625069445,0.004352922847221663,15.921187469930556,15.967535227569446,-0.04634775763888932,20.646052655357153,21.03812165493056,-0.39206899957340724
43,43,216.8643216080402,1.2476112895258078,0.8540606445139054,0.3935506450119024,5.970471279375,5.9257215824305565,0.04474969694444386,10.945903008680554,10.943567314861111,0.0023356938194432075,15.914424453472224,15.961144492986111,-0.04672003951388781,20.63869446188493,21.031531914444443,-0.39283745255951175
44,44,221.88442211055275,1.2518160952202522,0.8582203336111319,0.39359576160912024,5.9747694890972225,5.929760551736111,0.045008937361111556,10.947956415208331,10.947428399444444,0.0005280157638871685,15.918421744583334,15.964608413055553,-0.04618666847221853,20.64303366931549,21.035561568333335,-0.39252789901784624
45,45,226.9045226130653,1.2439885187619188,0.8517708397916819,0.39221767897023696,5.968850452847223,5.9229245483333335,0.045925904513889115,10.941094942013889,10.941976529166665,-0.0008815871527758645,15.913683646875,15.960473068333336,-0.04678942145833531,20.640747289386915,21.03280206423611,-0.39205477484919626
46,46,231.92462311557787,1.2494421647321543,0.858402768541687,0.39103939619046735,5.975943200972223,5.930235446388888,0.04570775458333465,10.947706858472221,10.949077569097222,-0.001370710625000271,15.920500946805557,15.968435254305556,-0.047934307499998496,20.647964640220252,21.039315216875,-0.39135057665474804
47,47,236.94472361809045,1.2562566591785855,0.8670510413194662,0.38920561785911933,5.983281845,5.9394414102777775,0.0438404347222221,10.957007433611112,10.959630813819444,-0.0026233802083321933,15.931906865347223,15.979468625972224,-0.04756176062500117,20.661303222787712,21.05129254166667,-0.38998931887895694
48,48,241.964824120603,1.2510441788988211,0.8612170633333501,0.389827115565471,5.976695429166667,5.935179800069444,0.04151562909722273,10.953902925416667,10.955144185833333,-0.0012412604166662788,15.929306178194444,15.974194162222224,-0.04488798402777938,20.657207742232156,21.045926137152776,-0.38871839492061966
49,49,246.98492462311555,1.2578161481349324,0.865030994722242,0.3927851534126904,5.983021697361112,5.938931216597222,0.04409048076388977,10.959926149097221,10.958664768819444,0.0012613802777767802,15.936199910486112,15.977938743125,-0.04173883263888811,20.660163817373032,21.04949258513889,-0.389328767765857
50,50,252.00502512562812,1.2585527678571546,0.865891792708353,0.3926609751488016,5.983969621527779,5.939454660486111,0.044514961041667966,10.960993217777778,10.958794961805557,0.0021982559722211192,15.935271955833331,15.977222752916667,-0.041950797083336155,20.65777075452581,21.050063019722224,-0.3922922651964136
51,51,257.0251256281407,1.24980399591271,0.8575468634027933,0.3922571325099168,5.978278563333333,5.93060545263889,0.047673110694443466,10.95223953326389,10.948847755555555,0.0033917777083356526,15.926431263680557,15.967392521458335,-0.04096125777777715,20.648605192581364,21.039930564305557,-0.3913253717241929
52,52,262.04522613065325,1.2498560267460437,0.8565073293750172,0.3933486973710265,5.976401260833334,5.92825002,0.04815124083333355,10.950263160625001,10.94844390590278,0.0018192547222213307,15.925233741666666,15.968280799097222,-0.043047057430555924,20.649357892581364,21.040414643125,-0.39105675054363687
53,53,267.0653266331658,1.2488895975813632,0.8546490148611269,0.3942405827202363,5.975642159652779,5.926252273680555,0.04938988597222327,10.948032749513889,10.945980778055556,0.002051971458332247,15.919849714999998,15.964251599166667,-0.04440188416666935,20.644239725359142,21.03488667284722,-0.3906469474880794
54,54,272.0854271356784,1.2504229460535856,0.8563037440277987,0.3941192020257869,5.977637247083333,5.927455571944445,0.05018167513888816,10.949488189166667,10.949174050347223,0.00031413881944430955,15.924546155416667,15.968274811597224,-0.04372865618055677,20.648340382928584,21.03747725173611,-0.38913686880752607
55,55,277.10552763819095,1.2552388895258078,0.8607853686805768,0.394453520845231,5.978899205208333,5.9327214490277775,0.04617775618055564,10.955713216944446,10.954794539722222,0.0009186772222236073,15.929470192777778,15.972945056041668,-0.043474863263890384,20.65477941035914,21.042427369375,-0.3876479590158617
56,56,282.1256281407035,1.2549935586924743,0.8605431177083465,0.39445044098412785,5.9811287704166665,5.933667949444445,0.04746082097222182,10.95454373361111,10.953709906388887,0.000833827222223249,15.926548539305555,15.970782227708334,-0.044233688402778526,20.652533022581363,21.041502472430555,-0.388969449849192
57,57,287.14572864321605,1.2521575005674745,0.8573071587500186,0.39485034181745593,5.976485764166666,5.930093948611112,0.046391815555554494,10.950621237083332,10.9497683675,0.0008528695833316391,15.924815044027778,15.96860981652778,-0.043794772500001855,20.650753560706367,21.04010248708333,-0.3893489263769645
