,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2
68,68,342.36683417085425,1.2551950276562502,0.8724194866797226,0.38277554097652766,5.879117875136659,5.876893968515626,0.0022239066210332226,10.496459356093752,10.881562012304688,-0.3851026562109361
69,69,347.3869346733668,1.2542691395703127,0.8719015233203469,0.38236761624996585,5.879283493378727,5.876345245585938,0.0029382477927892836,10.497667654804687,10.882080988554687,-0.3844133337500004
70,70,352.4070351758794,1.2523575373437499,0.8711826171484695,0.38117492019528043,5.879505611152165,5.874777042539063,0.004728568613102446,10.498437735703126,10.880249012500002,-0.381811276796876
71,71,357.42713567839195,1.2548689081250002,0.8725734995312848,0.38229540859371536,5.880879982070194,5.876762346601563,0.00411763546863142,10.500151345625,10.882349668085938,-0.38219832246093866
72,72,362.4472361809045,1.2568367673046876,0.8750716100781576,0.38176515722653004,5.881488820175841,5.879499410195312,0.001989409980528656,10.502531235859376,10.882480166796876,-0.37994893093750015
73,73,367.46733668341705,1.2552485248046876,0.8748197184765956,0.38042880632809206,5.8802013778319715,5.879632762148438,0.0005686156835338352,10.502898195546875,10.882428583164064,-0.37953038761718894
74,74,372.4874371859296,1.25836061046875,0.8782602428515969,0.38010036761715305,5.879298025586057,5.881690391367188,-0.0023923657811311116,10.504015645234375,10.884037593984374,-0.38002194874999873
75,75,377.5075376884422,1.25663775515625,0.876437081601595,0.38020067355465503,5.877526438535097,5.880022434804689,-0.002495996269591849,10.50366685361334,10.88302874078125,-0.3793618871679083
76,76,382.52763819095475,1.255519573125,0.8760831219140948,0.3794364512109052,5.875961883456972,5.8776840044531244,-0.001722120996152654,10.503335740976564,10.881135815,-0.37780007402343685
77,77,387.5477386934673,1.2579582891796874,0.8792122548437848,0.3787460343359026,5.878876658769472,5.880388153671875,-0.0015114949024033209,10.504176479179687,10.881988547148438,-0.3778120679687511
78,78,392.5678391959799,1.2561516508984376,0.8773626112890957,0.37878903960934196,5.877307207265625,5.8781054640625,-0.0007982567968749521,10.501859641015626,10.879256826015625,-0.3773971849999995
79,79,397.58793969849245,1.2550371871484376,0.8767199782812827,0.3783172088671549,5.875402049921876,5.876456536914063,-0.0010544869921869093,10.502173759882814,10.878323497226564,-0.37614973734375035
80,80,402.608040201005,1.255364443261659,0.8773776099609708,0.3779868333006883,5.875826657460937,5.876846701835937,-0.0010200443750001398,10.50304597339844,10.879407129179688,-0.3763611557812485
